,Open,Low,High,Close,Change,ChangePercent,Date_Gregorian,Date_Jalali,weekday_en,weekday_fa
9477,"1,315.5900","1,313.8300","1,325.0800","1,320.3199",19.54,1.48%,2016-07-26,1395/05/05,Tuesday,سه‌شنبه
9478,"1,320.0400","1,315.7400","1,342.6200","1,339.8600",4.0699,0.3%,2016-07-27,1395/05/06,Wednesday,چهارشنبه
9479,"1,339.3800","1,332.2300","1,345.5300","1,335.7900",15.12,1.13%,2016-07-28,1395/05/07,Thursday,پنج‌شنبه
9480,"1,335.75","1,330","1,355.4200","1,350.9100",2.2999,0.17%,2016-07-29,1395/05/08,Friday,جمعه
9481,"1,349.8800","1,346.2400","1,355.2200","1,353.2100",10.4701,0.77%,2016-08-01,1395/05/11,Monday,دوشنبه
9482,"1,353.4700","1,347.0601","1,367.8101","1,363.6801",5.78,0.43%,2016-08-02,1395/05/12,Tuesday,سه‌شنبه
9483,"1,363.6500","1,354.1600","1,366.8500","1,357.9000",3.2999,0.24%,2016-08-03,1395/05/13,Wednesday,چهارشنبه
9484,"1,358.4100","1,348.9000","1,365.4500","1,361.2000",25.3999,1.9%,2016-08-04,1395/05/14,Thursday,پنج‌شنبه
9485,"1,360.7200","1,334.8700","1,365.5100","1,335.8000",0.42,0.03%,2016-08-05,1395/05/15,Friday,جمعه
9486,"1,335.1801","1,329.8400","1,338.5300","1,335.3800",5.37,0.4%,2016-08-08,1395/05/18,Monday,دوشنبه
9487,"1,334.8500","1,330.4700","1,343.2400","1,340.75",5.92,0.44%,2016-08-09,1395/05/19,Tuesday,سه‌شنبه
9488,"1,340.9500","1,340.3000","1,357.5699","1,346.6700",7.8,0.58%,2016-08-10,1395/05/20,Wednesday,چهارشنبه
9489,"1,347.2600","1,335.9301","1,353.7800","1,338.8700",2.6801,0.2%,2016-08-11,1395/05/21,Thursday,پنج‌شنبه
9490,"1,338.7000","1,333.9800","1,356.2800","1,336.1899",3.17,0.24%,2016-08-12,1395/05/22,Friday,جمعه
9491,"1,338.0800","1,335.9500","1,344.2100","1,339.3600",6.72,0.5%,2016-08-15,1395/05/25,Monday,دوشنبه
9492,"1,339.6899","1,339.4700","1,358.3800","1,346.0800",2.5801,0.19%,2016-08-16,1395/05/26,Tuesday,سه‌شنبه
9493,"1,345.7000","1,337.7000","1,352.0699","1,348.6600",3.6799,0.27%,2016-08-17,1395/05/27,Wednesday,چهارشنبه
9494,"1,349.0500","1,345.8400","1,356.6000","1,352.3400",10.5599,0.79%,2016-08-18,1395/05/28,Thursday,پنج‌شنبه
9495,"1,352.9100","1,337.9301","1,353.4399","1,341.7800",2.76,0.21%,2016-08-19,1395/05/29,Friday,جمعه
9496,"1,340.8300","1,332.1000","1,341.6500","1,339.0200",0.92,0.07%,2016-08-22,1395/06/01,Monday,دوشنبه
9497,"1,339.3400","1,335.6500","1,345.4500","1,338.1000",14.35,1.08%,2016-08-23,1395/06/02,Tuesday,سه‌شنبه
9498,"1,337.8800","1,323.7000","1,340.5200","1,323.75",2.05,0.16%,2016-08-24,1395/06/03,Wednesday,چهارشنبه
9499,"1,323.75","1,317.9600","1,327.50","1,321.7000",0.37,0.03%,2016-08-25,1395/06/04,Thursday,پنج‌شنبه
9500,"1,321.8900","1,318.8900","1,341.5400","1,321.3300",2.0801,0.16%,2016-08-26,1395/06/05,Friday,جمعه
9501,"1,320.4700","1,315.1000","1,325.4301","1,323.4100",12.26,0.94%,2016-08-29,1395/06/08,Monday,دوشنبه
